predecessor_task_code,successor_task_code,dependency_type,lag_days
DEV_001,DEV_002,FS,
DEV_002,DEV_003,FS,
DEV_003,DEV_004,FS,
DEV_004,DEV_005,FS,
DEV_004,DEV_006,FS,
DEV_002,ENV_010,FS,
ENV_010,ENV_013,FS,
ENV_010,ENV_020,FS,
ENV_020,ENV_021,FS,
ENV_021,ENV_022,FS,
ENV_022,ENV_023,FS,
ENV_023,ENV_024,FS,
ENV_023,PUB_120,FS,
ENV_010,ENV_030,FS,
ENV_010,ENV_031,FS,
ENV_030,ENV_032,FS,
ENV_031,ENV_032,FS,
ENV_032,PUB_120,FS,
DEV_004,ENV_011,FS,
ENV_011,ENV_012,FS,
DEV_001,LIC_040,FS,
LIC_040,LIC_041,FS,
MOD_102,LIC_042,FS,
DEV_001,GRID_050,FS,
GRID_050,GRID_051,FS,
GRID_051,GRID_052,FS,
GRID_051,GRID_053,FS,
GRID_051,GRID_054,FS,
GRID_052,GRID_055,FS,
GRID_053,GRID_055,FS,
GRID_054,GRID_055,FS,
GRID_055,GRID_056,FS,
GRID_056,GRID_057,FS,
GRID_057,GRID_058,FS,
GRID_058,GRID_059,FS,
GRID_059,GRID_060,FS,
ENV_013,CONSTR_070,FS,
ENV_024,CONSTR_070,FS,
ENV_032,CONSTR_070,FS,
CONSTR_070,CONSTR_071,FS,
CONSTR_071,CONSTR_072,FS,
CONSTR_072,COMM_080,FS,
GRID_060,COMM_080,FS,
COMM_080,OPER_090,FS,
COMM_080,OPER_091,FS,
COMM_080,OPER_093,FS,
DEV_001,ADMIN_095,SS,
OPER_090,DECOM_110,FS,
OPER_093,DECOM_110,FS,
DECOM_110,DECOM_111,FS,
DECOM_110,DECOM_112,FS,
DECOM_111,DECOM_113,FS,
DECOM_112,DECOM_113,FS,
DEV_001,MOD_100,SS,
DEV_001,MOD_101,SS,
MOD_100,MOD_102,FS,
